"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52018";"";"F";"0";"190";"0";"";"CASTEL SAN NICCOLO'";"40";"2";"RD3";"AR";"PRATOMAGNO FUNGHI DI ALESSIO";"0";"1";"N";""
"52018";"";"F";"0";"272";"0";"";"CASTEL SAN NICCOLO'";"40";"2";"R.D";"AR";"LISI ANTONIO SRL";"0";"1";"N";""
"52018";"";"F";"0";"390";"0";"";"CASTEL SAN NICCOLO'";"40";"1";"R.D";"AR";"ANTICO FORNO SRL";"0";"1";"N";""
"52018";"";"F";"0";"391";"0";"";"CASTEL SAN NICCOLO'";"40";"2";"R.D";"AR";"ST.TECNICO GEOM.WALTER BENUCCI";"0";"1";"N";""
"52018";"";"F";"0";"517";"0";"";"CASTEL SAN NICCOLO'";"40";"2";"R.D";"AR";"DITTA SASSOLI TIZIANO";"0";"1";"N";""
"52018";"";"F";"0";"52";"0";"";"CASTEL SAN NICCOLO'";"40";"1";"RD3";"AR";"PICCINOTTI SRL";"0";"1";"N";""
"52018";"";"F";"0";"68";"0";"";"CASTEL SAN NICCOLO'";"40";"2";"RD6";"AR";"TECNOIMPIANTI DI VANNINI";"0";"1";"N";""
"52018";"DET";"C";"0";"146";"0";"1";"CASTEL SAN NICCOLO'";"14";"2";"R.D";"AR";"AZ.AG.BORGO CAIANO diSTOPPIONI";"0";"0";"2";"16"
"52018";"DET";"C";"0";"153";"0";"93";"CASTEL SAN NICCOLO'";"14";"1";"RD3";"AR";"ANTICO FORNO SRL";"0";"0";"1";"16"
"52018";"DET";"C";"0";"51";"0";"28";"CASTEL SAN NICCOLO'";"14";"1";"R.D";"AR";"F.LLI ALOIGI SRL";"0";"0";"2";"16"
"52025";"";"F";"0";"554";"0";"";"MONTEVARCHI";"40";"1";"R.D";"AR";"HOLDING 20.19 SRL";"0";"1";"N";""
"52028";"";"F";"0";"332";"0";"";"TERRANUOVA BRACCIOLINI";"40";"2";"R.D";"AR";"MACELLERIA GIACCHERINI DI";"0";"1";"N";""
"52028";"";"F";"0";"543";"0";"";"TERRANUOVA BRACCIOLINI";"40";"2";"R.D";"AR";"BAGLIONI NEDO";"0";"1";"N";""
"52030";"";"F";"0";"93";"0";"";"AREZZO";"40";"1";"RB3";"AR";"SINTESI TOSCANA SERVIZI SRL";"0";"1";"N";""
"52037";"";"F";"0";"118";"0";"";"SANSEPOLCRO";"40";"2";"R.D";"AR";"GAGLIARDI RUGGERO PAOLO";"0";"1";"N";""
"52037";"";"F";"0";"236";"0";"";"SANSEPOLCRO";"40";"1";"RD3";"AR";"KALI' SAS";"0";"1";"N";""
"52037";"DOO";"C";"0";"117";"0";"73";"SAN SEPOLCRO";"14";"1";"RD3";"AR";"INIZIATIVE ALIMENTARI SRL";"0";"0";"1";"16"
"52040";"";"C";"0";"21";"0";"67";"CIVITELLA IN VALDICHIANA";"14";"2";"RD3";"AR";"I SAPORI DELLA NONNA DI";"0";"0";"1";"16"
"52040";"";"C";"0";"30";"0";"67";"CIVITELLA IN VALDICHIANA";"14";"1";"RD3";"AR";"I SAPORI DELLA NONNA SRL";"0";"0";"1";"16"
"52041";"";"F";"0";"29";"0";"";"LOC. PIEVE AL TOPPO";"40";"2";"3RD";"AR";"I SAPORI DELLA NONNA";"0";"1";"N";""
"52041";"";"F";"0";"63";"0";"";"CIVITELLA DELLA CHIANA";"40";"1";"RD3";"AR";"ROSSI SRL";"0";"1";"N";""
"52041";"";"F";"0";"66";"0";"";"CIVITELLA DELLA CHIANA";"40";"1";"RD3";"AR";"I SAPORI DELLA NONNA SRL";"0";"1";"N";""
